season,player_id,firstName,lastName,timeOnIce,assists,goals,shots,penaltyMinutes
20002001,8444894,Greg,Adams,51806,12,11,66,10
20002001,8444919,Tommy,Albelin,96465,19,1,69,22
20002001,8445000,Dave,Andreychuk,53248,13,20,119,32
20002001,8445176,Donald,Audette,90473,45,34,225,76
20002001,8445266,Murray,Baron,95471,8,3,56,63
20002001,8445283,Len,Barrie,45269,18,5,48,135
20002001,8445413,Drake,Berehowsky,100077,19,7,107,121
20002001,8445423,Benoit,Hogue,25431,7,3,35,26
20002001,8445428,Marc,Bergevin,38390,4,1,12,26
20002001,8445440,Craig,Berube,21118,3,0,35,72
20002001,8445493,James,Black,22865,5,1,34,4
20002001,8445550,Rob,Blake,111607,40,19,267,77
20002001,8445575,Peter,Bondra,102319,36,45,305,60
20002001,8445621,Ray,Bourque,125264,52,7,216,48
20002001,8445730,Doug,Brown,40441,13,9,91,14
20002001,8445733,Kelly,Buchberger,70980,14,6,66,75
20002001,8445734,Benoit,Brunet,34997,11,3,61,12
20002001,8445735,Rod,Brind'Amour,104856,36,20,163,47
20002001,8445739,Patrice,Brisebois,114199,21,15,178,28
20002001,8445783,Adam,Burt,30911,2,0,18,27
20002001,8446003,Andrew,Cassels,76693,44,12,104,10
20002001,8446053,Chris,Chelios,32901,3,0,26,45
20002001,8446117,Paul,Coffey,20458,4,0,28,30
20002001,8446165,Bob,Corkum,56751,7,7,66,22
20002001,8446167,Shayne,Corson,73179,18,8,102,189
20002001,8446181,Sylvain,Cote,72573,11,7,86,18
20002001,8446286,Jean-Jacques,Daigneault,698,0,0,0,2
20002001,8446295,Ulf,Dahlen,64832,33,15,145,6
20002001,8446303,Vincent,Damphousse,56197,37,9,101,62
20002001,8446305,Jeff,Daniels,30149,1,1,42,15
20002001,8446309,Ken,Daneyko,79813,4,0,50,87
20002001,8446407,Eric,Desjardins,125351,33,15,187,50
20002001,8446408,Rob,DiMaio,66468,18,6,99,54
20002001,8446417,Gerald,Diduck,9020,0,0,8,18
20002001,8446423,Kevin,Dineen,42051,7,8,74,126
20002001,8446435,Bobby,Dollas,16227,1,1,11,18
20002001,8446454,Tie,Domi,41243,7,13,60,214
20002001,8446485,Kris,Draper,60473,17,8,123,38
20002001,8446494,Steve,Duchesne,59393,19,6,76,48
20002001,8446675,Nelson,Emerson,64819,11,11,157,54
20002001,8446788,Sergei,Fedorov,94887,37,32,268,40
20002001,8446823,Ray,Ferraro,88982,47,29,172,91
20002001,8446826,Jeff,Finley,81568,8,2,35,38
20002001,8446830,Tom,Fitzgerald,73623,9,9,135,71
20002001,8446847,Theo,Fleury,81050,44,30,238,122
20002001,8446951,Ron,Francis,99659,50,15,130,32
20002001,8446955,Frantisek,Musil,8703,2,0,0,4
20002001,8447004,Garry,Galley,69993,14,6,94,59
20002001,8447091,Martin,Gelinas,84831,29,23,170,59
20002001,8447177,Brent,Gilchrist,42053,8,1,75,41
20002001,8447187,Todd,Gill,75902,8,3,66,53
20002001,8447206,Doug,Gilmour,76832,31,7,91,70
20002001,8447350,Tony,Granato,30302,5,4,85,65
20002001,8447363,Alexei,Gusarov,58918,8,1,35,18
20002001,8447364,Adam,Graves,77375,16,10,136,77
20002001,8447383,Mark,Greig,6040,1,1,7,4
20002001,8447386,Stu,Grimson,25914,2,3,26,235
20002001,8447477,Kevin,Haller,34421,5,1,19,56
20002001,8447680,Kevin,Hatcher,79970,14,4,98,38
20002001,8447690,Greg,Hawgood,14319,5,2,16,6
20002001,8447958,Bobby,Holik,75946,35,15,206,97
20002001,8447979,Bill,Houlder,103048,12,4,78,40
20002001,8447989,Phil,Housley,75181,30,4,115,24
20002001,8448017,Tony,Hrkac,66100,25,13,88,29
20002001,8448091,Brett,Hull,84784,40,39,219,18
20002001,8448092,Jody,Hull,56287,8,7,78,10
20002001,8448208,Jaromir,Jagr,113282,69,52,317,42
20002001,8448225,Mark,Janssens,17557,0,0,15,33
20002001,8448287,Calle,Johansson,108220,29,7,154,26
20002001,8448380,Chris,Joseph,42401,4,1,58,36
20002001,8448415,Mike,Keane,62177,14,10,64,35
20002001,8448484,Dmitri,Khristich,62734,25,13,77,16
20002001,8448487,Kris,King,7799,0,1,12,8
20002001,8448542,Robert,Kron,60634,11,8,134,10
20002001,8448543,Frantisek,Kucera,57893,7,2,60,12
20002001,8448622,John,LeClair,18338,5,7,48,0
20002001,8448669,Igor,Larionov,64662,31,9,46,38
20002001,8448674,Claude,Lapointe,89635,23,9,94,56
20002001,8448740,Grant,Ledyard,22743,3,2,19,16
20002001,8448769,Brian,Leetch,144436,58,21,241,34
20002001,8448770,Sylvain,Lefebvre,77367,13,2,39,55
20002001,8448772,Claude,Lemieux,47489,16,10,99,58
20002001,8448782,Mario,Lemieux,62790,41,35,171,18
20002001,8448797,Curtis,Leschyshyn,75801,7,2,51,19
20002001,8448824,Jyrki,Lumme,75613,21,4,77,44
20002001,8448825,Trevor,Linden,84095,22,15,126,60
20002001,8448834,Dave,Lowry,75565,17,18,108,47
20002001,8448960,Al,MacInnis,93913,42,12,218,52
20002001,8449093,Steve,Maltais,18653,3,0,30,12
20002001,8449123,Dave,Manson,70144,7,4,70,93
20002001,8449137,Bryan,Marchment,81878,11,7,73,204
20002001,8449295,Stephane,Matteau,52395,19,13,81,32
20002001,8449450,Randy,McKay,64560,20,23,120,50
20002001,8449477,Jim,McKenzie,25214,2,2,32,119
20002001,8449499,John,MacLean,22658,2,4,41,17
20002001,8449545,Scott,Mellanby,56649,10,11,95,71
20002001,8449573,Mark,Messier,94667,43,24,131,89
20002001,8449633,Kip,Miller,19352,8,3,38,6
20002001,8449645,Mike,Modano,108876,51,33,208,52
20002001,8449654,Alexander,Mogilny,75970,40,43,240,43
20002001,8449740,Kirk,Muller,40797,9,1,54,26
20002001,8449745,Larry,Murphy,65003,19,2,81,12
20002001,8449751,Joe,Murphy,10512,5,1,22,20
20002001,8449754,Gord,Murphy,33579,11,3,44,12
20002001,8449807,Petr,Nedved,96099,46,32,230,54
20002001,8449893,Joe,Nieuwendyk,66981,23,29,166,30
20002001,8449895,Owen,Nolan,74615,25,24,191,75
20002001,8449902,Jeff,Norton,47088,11,2,22,28
20002001,8449924,Teppo,Numminen,105710,26,5,109,36
20002001,8449951,Adam,Oates,102052,69,13,72,28
20002001,8449957,Lyle,Odelein,104599,14,3,104,118
20002001,8449961,Gino,Odjick,14240,3,2,32,72
20002001,8450223,James,Patrick,55929,9,4,48,12
20002001,8450357,Michel,Picard,5980,4,1,12,0
20002001,8450389,Rich,Pilon,69848,9,2,24,175
20002001,8450550,Keith,Primeau,85087,39,34,165,76
20002001,8450561,Bob,Probert,51334,12,7,45,103
20002001,8450620,Stephane,Quintal,97229,18,1,109,60
20002001,8450653,Paul,Ranheim,62162,7,10,123,14
20002001,8450678,Rob,Ray,21312,6,4,33,210
20002001,8450725,Mark,Recchi,89681,50,27,191,33
20002001,8450742,Joe,Reekie,83546,9,2,59,77
20002001,8450773,Dave,Reid,43255,9,1,66,21
20002001,8450817,Mike,Ricci,87448,22,22,141,60
20002001,8450824,Luke,Richardson,101877,6,2,75,131
